IgnitePropellant,SealGas,GeneratePressure,InitiateInflightPower,ModifyAttitude,ArmWarheadFuze,SendFireCommand,Launch,BallisticFlight,TerminalEffects,System,System.1,red_system.1
3,4,7,0,0,0,0,0,0,0,0,0.125264,0.360431
3,7,6,0,0,0,0,0,0,0,0,0.118767,0.366477
3,4,6,0,0,0,3,0,0,0,0,0.108787,0.371389
4,4,7,1,0,0,0,0,0,0,0,0.115577,0.367456
2,5,5,2,0,0,2,0,0,0,0,0.100978,0.37728
2,5,6,1,0,0,0,0,0,0,0,0.113953,0.368297
3,5,6,1,0,0,1,0,0,0,0,0.113777,0.368845
4,5,5,2,0,0,0,0,0,0,0,0.110744,0.370176
2,4,5,3,0,0,2,0,0,0,0,0.099706,0.390802
3,2,6,3,0,0,2,0,0,0,0,0.099119,0.400372
3,4,3,3,1,0,2,0,0,0,0,0.095695,0.401057
3,2,2,4,1,0,4,0,0,0,0,0.092544,0.443268
3,2,4,3,0,0,4,0,0,0,0,0.094501,0.419883
